################################
##########2016-09-15############
黄河                          ,唐乃亥                        ,2515.4,590,-,
黄河                          ,龙羊峡入库,-,605,-,
黄河                          ,龙羊峡蓄水量,2572.51,(153)亿,-,
黄河                          ,龙羊峡出库,-,362,-,
黄河                          ,刘家峡入库,-,538,-,
黄河                          ,刘家峡蓄水量,1727.78,(31.4)亿,-,
黄河                          ,刘家峡出库,-,411,-,
黄河                          ,兰州                          ,1511.76,620,-,
黄河                          ,下河沿                        ,1230.93,828,-,
黄河                          ,石嘴山                        ,1087.42,932,-,
黄河                          ,巴彦高勒                      ,1051.21,840,-,
黄河                          ,三湖河口                      ,1019.08,915,-,
黄河                          ,包头                          ,1002.75,840,-,
黄河                          ,头道拐                        ,987.11,769,-,
黄河                          ,万家寨蓄水量,966.92,(1.44)亿,-,
黄河                          ,万家寨上出库,-,603,-,
黄河                          ,万家寨下                      ,899.15,603,-,
黄河                          ,府谷                          ,807.54,736,-,
黄河                          ,吴堡                          ,637.54,920,-,
黄河                          ,龙门                          ,380.8,894,-,
汾河                          ,河津                          ,372.59,40.8,-,
北洛河                        ,状头                          ,361.33,1.13,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.25,33.5,-,
渭河                          ,华县                          ,335.53,61.2,-,
黄河                          ,潼关                          ,327.1,675,-,
黄河                          ,史家滩蓄水量,304.82,(0.486)亿,-,
黄河                          ,三门峡                        ,274.46,489,2.11,
黄河                          ,小浪底上蓄水量,246.13,(33.4)亿,-,
黄河                          ,小浪底                        ,134.44,335,-,
伊河                          ,东湾                          ,2.8,5.05,-,
伊河                          ,陆浑坝上蓄水量,313.09,(4.29)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.63,12.5,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.01,(4.52)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.84,28.4,-,
伊洛河                        ,黑石关                        ,105.6,42.1,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.85,16.3,-,
沁河                          ,武陟                          ,100.13,11.2,-,
黄河                          ,花园口                        ,88.99,370,-,
黄河                          ,夹河滩                        ,72.42,350,-,
黄河                          ,高村                          ,58.92,273,0.357,
黄河                          ,孙口                          ,44.42,285,0.426,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.52,(4.93)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.79,280,0.683,
黄河                          ,泺口                          ,25.91,236,0.360,
黄河                          ,利津                          ,10.16,172,0.215,

################################
##########2016-09-16############
黄河                          ,唐乃亥                        ,2515.52,638,-,
黄河                          ,龙羊峡入库,-,630,-,
黄河                          ,龙羊峡蓄水量,2572.59,(153)亿,-,
黄河                          ,龙羊峡出库,-,283,-,
黄河                          ,刘家峡入库,-,531,-,
黄河                          ,刘家峡蓄水量,1727.97,(31.6)亿,-,
黄河                          ,刘家峡出库,-,303,-,
黄河                          ,兰州                          ,1511.82,653,-,
黄河                          ,下河沿                        ,1230.84,777,-,
黄河                          ,石嘴山                        ,1087.46,960,-,
黄河                          ,巴彦高勒                      ,1051.18,814,-,
黄河                          ,三湖河口                      ,1019.08,915,-,
黄河                          ,包头                          ,1002.8,890,-,
黄河                          ,头道拐                        ,987.18,818,-,
黄河                          ,万家寨蓄水量,968.78,(1.59)亿,-,
黄河                          ,万家寨上出库,-,435,-,
黄河                          ,万家寨下                      ,898.87,435,-,
黄河                          ,府谷                          ,807.61,775,-,
黄河                          ,吴堡                          ,637.13,590,-,
黄河                          ,龙门                          ,380.72,846,-,
汾河                          ,河津                          ,372.1,29,-,
北洛河                        ,状头                          ,361.45,3.52,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.2,29.7,-,
渭河                          ,华县                          ,335.52,60,-,
黄河                          ,潼关                          ,327.31,870,-,
黄河                          ,史家滩蓄水量,303.73,(0.404)亿,-,
黄河                          ,三门峡                        ,274.96,732,1.08,
黄河                          ,小浪底上蓄水量,246.33,(33.7)亿,-,
黄河                          ,小浪底                        ,134.72,581,-,
伊河                          ,东湾                          ,2.8,5.05,-,
